primary_type,arrest,counts
ARSON,False,350
ARSON,True,258
ASSAULT,False,78968
ASSAULT,True,18623
BATTERY,False,426414
BATTERY,True,124117
BURGLARY,False,2320
BURGLARY,True,515
CRIM SEXUAL ASSAULT,False,3057
CRIM SEXUAL ASSAULT,True,997
CRIMINAL DAMAGE,False,54394
CRIMINAL DAMAGE,True,8642
CRIMINAL SEXUAL ASSAULT,False,83
CRIMINAL SEXUAL ASSAULT,True,14
CRIMINAL TRESPASS,False,4074
CRIMINAL TRESPASS,True,2576
DECEPTIVE PRACTICE,False,3070
DECEPTIVE PRACTICE,True,166
DOMESTIC VIOLENCE,True,1
GAMBLING,True,4
HOMICIDE,False,36
HOMICIDE,True,641
HUMAN TRAFFICKING,False,6
INTERFERENCE WITH PUBLIC OFFICER,False,14
INTERFERENCE WITH PUBLIC OFFICER,True,73
INTIMIDATION,False,448
INTIMIDATION,True,72
KIDNAPPING,False,1655
KIDNAPPING,True,213
LIQUOR LAW VIOLATION,True,9
MOTOR VEHICLE THEFT,False,1235
MOTOR VEHICLE THEFT,True,232
NARCOTICS,False,7
NARCOTICS,True,259
OBSCENITY,False,28
OBSCENITY,True,81
OFFENSE INVOLVING CHILDREN,False,19818
OFFENSE INVOLVING CHILDREN,True,5485
PROSTITUTION,True,9
PUBLIC INDECENCY,True,1
PUBLIC PEACE VIOLATION,False,1793
PUBLIC PEACE VIOLATION,True,465
RITUALISM,False,4
RITUALISM,True,1
ROBBERY,False,3755
ROBBERY,True,559
SEX OFFENSE,False,1929
SEX OFFENSE,True,462
STALKING,False,1292
STALKING,True,247
THEFT,False,34010
THEFT,True,2415
WEAPONS VIOLATION,False,46
WEAPONS VIOLATION,True,215
